BAC US Equity,,,,,,,,,,,,,,,,,,,,,,,
Date,9/30/2013,10/1/2013,10/2/2013,10/3/2013,10/4/2013,10/7/2013,10/8/2013,10/9/2013,10/10/2013,10/11/2013,10/14/2013,10/15/2013,10/16/2013,10/17/2013,10/18/2013,10/21/2013,10/22/2013,10/23/2013,10/24/2013,10/25/2013,10/28/2013,10/29/2013,10/30/2013
PX_OPEN,13.685,13.85,13.81,14.07,14.02,13.91,13.83,13.72,14.03,14.24,14.06,14.39,14.32,14.445,14.68,14.53,14.55,14.45,14.12,14.15,14.29,14.26,14.19
PX_CLOSE_1D,13.9,13.8,13.9,14.06,14,14.05,13.81,13.69,13.84,14.23,14.19,14.35,14.24,14.56,14.66,14.63,14.52,14.52,14.21,14.17,14.26,14.23,14.15
,,,,,,,,,,,,,,,,,,,,,,,
FB US Equity,,,,,,,,,,,,,,,,,,,,,,,
Date,9/30/2013,10/1/2013,10/2/2013,10/3/2013,10/4/2013,10/7/2013,10/8/2013,10/9/2013,10/10/2013,10/11/2013,10/14/2013,10/15/2013,10/16/2013,10/17/2013,10/18/2013,10/21/2013,10/22/2013,10/23/2013,10/24/2013,10/25/2013,10/28/2013,10/29/2013,10/30/2013
PX_OPEN,50.14,49.97,50.13,50.47,49.77,50.73,50.6,47.375,47.865,49.18,48.31,49.99,50.04,51.12,54.18,54.68,54.33,51.75,52.38,53.18,51.54,50.73,50
PX_CLOSE_1D,51.24,50.23,50.42,50.28,49.183,51.04,50.515,47.14,46.77,49.05,49.11,49.51,49.5,51.135,52.21,54.22,53.85,52.675,51.9,52.445,51.95,50.229,49.395
,,,,,,,,,,,,,,,,,,,,,,,
JCP US Equity,,,,,,,,,,,,,,,,,,,,,,,
Date,9/30/2013,10/1/2013,10/2/2013,10/3/2013,10/4/2013,10/7/2013,10/8/2013,10/9/2013,10/10/2013,10/11/2013,10/14/2013,10/15/2013,10/16/2013,10/17/2013,10/18/2013,10/21/2013,10/22/2013,10/23/2013,10/24/2013,10/25/2013,10/28/2013,10/29/2013,10/30/2013
PX_OPEN,8.73,8.86,8.74,8.69,8.44,7.77,8.07,8.02,8.03,8.03,7.95,7.85,7.3,7.48,7.4,6.88,6.35,6.53,7.03,6.68,6.78,7.51,7.5503
PX_CLOSE_1D,9.05,8.805,8.75,8.72,8.41,7.86,7.71,7.77,7.89,7.97,8,7.87,7.17,7.47,7.35,7,6.42,6.55,7.04,6.75,6.79,7.39,7.38
,,,,,,,,,,,,,,,,,,,,,,,
SIRI US Equity,,,,,,,,,,,,,,,,,,,,,,,
