AMD Date,2013-11-01,2013-11-04,2013-11-05,2013-11-06,2013-11-07,2013-11-08,2013-11-11,2013-11-12,2013-11-13,2013-11-14,2013-11-15,2013-11-18,2013-11-19,2013-11-20,2013-11-21,2013-11-22,2013-11-25,2013-11-26,2013-11-27,2013-11-29,2013-12-02,2013-12-03,2013-12-04,2013-12-05,2013-12-06,2013-12-09,2013-12-10,2013-12-11,2013-12-12,2013-12-13
AMD OPEN,3.37,3.34,3.32,3.33,3.33,3.26,3.29,3.34,3.5,3.55,3.5299,3.53,3.46,3.44,3.43,3.38,3.36,3.42,3.475,3.6,3.65,3.64,3.57,3.56,3.67,3.66,3.63,3.74,3.68,3.7
AMD PX_CLOSE_1D,3.34,3.31,3.32,3.33,3.32,3.28,3.27,3.34,3.44,3.54,3.52,3.5,3.47,3.42,3.42,3.37,3.34,3.39,3.45,3.56,3.64,3.66,3.62,3.57,3.64,3.66,3.63,3.72,3.68,3.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC Date,2013-11-01,2013-11-04,2013-11-05,2013-11-06,2013-11-07,2013-11-08,2013-11-11,2013-11-12,2013-11-13,2013-11-14,2013-11-15,2013-11-18,2013-11-19,2013-11-20,2013-11-21,2013-11-22,2013-11-25,2013-11-26,2013-11-27,2013-11-29,2013-12-02,2013-12-03,2013-12-04,2013-12-05,2013-12-06,2013-12-09,2013-12-10,2013-12-11,2013-12-12,2013-12-13
BAC OPEN,13.995,14.09,13.99,13.99,14,13.86,14.27,14.33,14.255,14.675,14.79,14.975,14.975,15.25,15.22,15.695,15.67,15.835,15.87,15.835,15.84,15.64,15.39,15.61,15.61,15.62,15.52,15.55,15.26,15.275
BAC PX_CLOSE_1D,13.97,14.02,14.04,13.93,13.96,13.8,14.32,14.4,14.32,14.64,14.795,14.92,14.92,15.2,15.14,15.59,15.64,15.81,15.88,15.83,15.82,15.73,15.54,15.63,15.43,15.56,15.58,15.56,15.25,15.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCO Date,2013-11-01,2013-11-04,2013-11-05,2013-11-06,2013-11-07,2013-11-08,2013-11-11,2013-11-12,2013-11-13,2013-11-14,2013-11-15,2013-11-18,2013-11-19,2013-11-20,2013-11-21,2013-11-22,2013-11-25,2013-11-26,2013-11-27,2013-11-29,2013-12-02,2013-12-03,2013-12-04,2013-12-05,2013-12-06,2013-12-09,2013-12-10,2013-12-11,2013-12-12,2013-12-13
CSCO OPEN,22.66,22.55,22.61,23.21,23.41,23.28,23.5,23.43,23.6,20.935,21.46,21.6,21.31,21.47,21.36,21.41,21.45,21.3,21.2925,21.39,21.29,21.05,21.09,21.2,21.12,21.33,21.2602,20.99,20.82,20.58
CSCO PX_CLOSE_1D,22.56,22.565,22.58,23.065,23.28,23.11,23.51,23.445,23.73,23.995,21.365,21.535,21.29,21.42,21.23,21.47,21.46,21.27,21.21,21.27,21.25,21.09,21.26,21.249,20.91,21.28,21.22,21.21,20.88,20.51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F Date,2013-11-01,2013-11-04,2013-11-05,2013-11-06,2013-11-07,2013-11-08,2013-11-11,2013-11-12,2013-11-13,2013-11-14,2013-11-15,2013-11-18,2013-11-19,2013-11-20,2013-11-21,2013-11-22,2013-11-25,2013-11-26,2013-11-27,2013-11-29,2013-12-02,2013-12-03,2013-12-04,2013-12-05,2013-12-06,2013-12-09,2013-12-10,2013-12-11,2013-12-12,2013-12-13
F OPEN,17.24,16.97,16.89,17.16,16.91,16.66,16.87,16.8,16.6599,17.12,17.13,17.07,16.99,16.89,17.01,17.12,17.1,17.05,16.86,17.06,17.12,17.05,16.61,16.66,16.92,16.68,16.54,16.54,16.36,16.47
F PX_CLOSE_1D,17.11,16.89,17,17.09,16.91,16.55,16.85,16.89,16.72,17.1,17.09,17.07,16.98,16.87,16.92,17.09,17.01,16.94,16.87,17.03,17.08,17.06,16.56,16.62,16.74,16.7,16.56,16.53,16.41,16.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB Date,2013-11-01,2013-11-04,2013-11-05,2013-11-06,2013-11-07,2013-11-08,2013-11-11,2013-11-12,2013-11-13,2013-11-14,2013-11-15,2013-11-18,2013-11-19,2013-11-20,2013-11-21,2013-11-22,2013-11-25,2013-11-26,2013-11-27,2013-11-29,2013-12-02,2013-12-03,2013-12-04,2013-12-05,2013-12-06,2013-12-09,2013-12-10,2013-12-11,2013-12-12,2013-12-13
FB OPEN,50.85,49.365,47.79,50.26,49.24,47.81,47.04,46,46.23,48.7,49.11,48.47,46.26,46.61,46.99,47.04,46.36,44.66,45.97,46.75,46.9,46.75,46.46,48.15,48.98,48.09,48.64,50.55,51.045,51.66
FB PX_CLOSE_1D,50.205,49.75,48.22,50.105,49.12,47.56,47.53,46.2,46.605,48.71,48.99,49.01,45.83,46.36,46.43,46.7,46.23,44.82,45.89,46.49,47.01,47.06,46.73,48.62,48.34,47.94,48.84,50.245,49.38,51.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE Date,2013-11-01,2013-11-04,2013-11-05,2013-11-06,2013-11-07,2013-11-08,2013-11-11,2013-11-12,2013-11-13,2013-11-14,2013-11-15,2013-11-18,2013-11-19,2013-11-20,2013-11-21,2013-11-22,2013-11-25,2013-11-26,2013-11-27,2013-11-29,2013-12-02,2013-12-03,2013-12-04,2013-12-05,2013-12-06,2013-12-09,2013-12-10,2013-12-11,2013-12-12,2013-12-13
